warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect RedisWebCacheModule after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"service":"SEERSLAB"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:31:27"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:33:33"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:33:33"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:34:43"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:34:43"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:37:02"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:37:02"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:38:12"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:38:12"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:39:22"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:39:22"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:43:01"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:43:01"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 19:53:30"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 19:53:30"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:00:19"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:00:19"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:02:05"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:02:05"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:03:56"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:03:56"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:10:38"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:10:38"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:11:47"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:11:47"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:15:12"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:15:12"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:16:22"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:16:22"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:17:32"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:17:32"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:18:42"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:18:42"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:19:51"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:19:51"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:21:01"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:21:01"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:22:11"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:22:11"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:23:21"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:23:21"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:24:31"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:24:31"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:25:40"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:25:40"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:26:50"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:26:50"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:28:00"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:28:00"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:29:10"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:29:10"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:30:20"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:30:20"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:33:17"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:33:17"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 20:59:38"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 20:59:38"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 21:00:48"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 21:00:48"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 21:01:58"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 21:01:58"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 21:10:24"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 21:10:24"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 21:11:34"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 21:11:34"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 21:12:44"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 21:12:44"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 21:13:54"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 21:13:54"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 21:15:04"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 21:15:04"}
warn: try to re-connect redisClientProvider after 10s... {"timestamp":"2023/9/25 21:43:02"}
warn: try to re-connect RedisWebCacheModule after 10s... {"timestamp":"2023/9/25 21:43:02"}
